Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),ID
SAMPLE-001,,,,Project Planning Task 1,0. Project Planning,Sample Owner 2,,2026/07/01,2026/07/04,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,,,ID-SAMPLE-001
SAMPLE-002,,,,Project Planning Task 2,0. Project Planning,Sample Owner 3,,2026/07/03,2026/07/06,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Project Planning Task 1,,ID-SAMPLE-002
SAMPLE-003,,,,Project Planning Task 3,0. Project Planning,Sample Owner 1,,2026/07/05,2026/07/08,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Project Planning Task 2,,ID-SAMPLE-003
SAMPLE-004,,,,Project Planning Milestone,0. Project Planning,Sample Owner 2,,,2026/07/10,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Project Planning Task 3,,ID-SAMPLE-004
SAMPLE-005,,,,Discovery Task 1,1. Discovery,Sample Owner 3,,2026/07/08,2026/07/11,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Project Planning Milestone,,ID-SAMPLE-005
SAMPLE-006,,,,Discovery Task 2,1. Discovery,Sample Owner 1,,2026/07/10,2026/07/13,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Discovery Task 1,,ID-SAMPLE-006
SAMPLE-007,,,,Discovery Task 3,1. Discovery,Sample Owner 2,,2026/07/12,2026/07/15,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Discovery Task 2,,ID-SAMPLE-007
SAMPLE-008,,,,Discovery Milestone,1. Discovery,Sample Owner 3,,,2026/07/17,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Discovery Task 3,,ID-SAMPLE-008
SAMPLE-009,,,,Requirements Task 1,2. Requirements,Sample Owner 1,,2026/07/15,2026/07/18,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Discovery Milestone,,ID-SAMPLE-009
SAMPLE-010,,,,Requirements Task 2,2. Requirements,Sample Owner 2,,2026/07/17,2026/07/20,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Requirements Task 1,,ID-SAMPLE-010
